sample_id,dataset,organism_ch1,source_name_ch1,disease,health_state,brain_region,tissue,sex,age,disease_status
GSM1443561,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443562,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443563,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443564,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443565,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443566,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443568,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443569,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443570,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443571,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443572,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443573,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443574,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443575,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
